LatGridBinSize 2.0
LonGridBinSize 2.0
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG
-58 -24 311 120.7 9.66 34.47 6.5 4.0 4.67
-58 -22 23 40.0 10.0 18.82 5.7 4.1 4.63
-58 -20 3 15.4 10.0 11.8 5.1 4.3 4.77
-58 -18 5 20.3 10.0 13.03 5.1 4.3 4.74
-58 -16 12 12.0 8.61 9.9 6.2 4.7 5.18
-58 -14 6 37.3 10.0 17.78 6.8 4.4 5.15
-58 -12 3 22.87 10.0 14.29 6.7 4.2 5.07
-58 -8 5 35.0 10.0 21.04 5.8 4.5 5.0
-58 -6 2 10.0 10.0 10.0 5.7 5.4 5.55
-58 148 35 10.3 6.67 9.91 5.7 4.2 4.85
-58 150 2 13.56 10.0 11.78 4.4 4.2 4.3
-58 156 3 10.0 10.0 10.0 5.9 4.4 5.07
-58 158 9 12.83 10.0 10.51 5.7 4.4 4.98
-58 160 1 10.0 10.0 10.0 4.6 4.6 4.6
-56 -150 65 15.89 0.0 10.41 5.4 4.0 4.74
-56 -148 2 14.94 10.0 12.47 4.9 4.7 4.8
-56 -146 16 14.7 4.0 9.92 5.6 4.3 4.87
-56 -144 4 10.0 10.0 10.0 5.5 4.5 4.95
-56 -142 36 21.34 10.0 10.49 6.4 4.1 5.16
-56 -140 33 11.99 9.11 10.08 5.8 4.2 5.09
-56 -138 10 15.0 10.0 10.5 5.7 4.2 4.93
-56 -124 2 10.0 10.0 10.0 5.6 4.5 5.05
-56 -122 5 14.36 10.0 10.87 6.3 4.7 5.1
-56 -112 1 10.0 10.0 10.0 4.8 4.8 4.8
-56 -68 3 10.0 10.0 10.0 4.7 4.6 4.67
-56 -66 16 35.0 10.0 11.87 6.3 4.4 5.07
-56 -64 8 15.0 5.0 9.88 6.3 4.5 5.3
-56 -60 1 10.0 10.0 10.0 4.5 4.5 4.5
-56 -30 10 47.1 10.0 19.32 5.2 4.0 4.61
-56 -28 22 306.91 10.0 121.35 6.2 4.0 4.49
-56 -26 493 307.6 7.6 89.58 7.2 4.0 4.66
-56 -24 438 107.9 3.81 32.25 6.5 4.0 4.72
-56 -22 22 43.8 9.6 22.53 6.3 4.2 4.6
