ID,Lat,Lon,Dep,OT,RMS,MinDist,Gap,NumPicks,Mag,DetectionTime,MatchedWith
us2000aetk,41.334000,129.031000,0.000000,1504409911.810000,0.530000,0.000000,0.000000,0,4.100000,1506200230.472000,
us2000aesd,42.610000,-111.436000,10.000000,1504410938.100000,0.700000,32.467480,57.000000,0,2.500000,1511309522.740000,
us2000aesm,42.612400,-111.503400,10.000000,1504411455.420000,0.450000,37.137460,30.000000,0,2.600000,1511309524.330000,
us2000aesv,42.677400,-111.479400,7.340000,1504411913.330000,1.180000,32.467480,57.000000,0,2.900000,1511309526.010000,
us2000awzr,42.669500,-111.518700,10.000000,1504412039.450000,0.610000,35.803180,59.000000,0,3.000000,1508283701.040000,
us2000al3b,42.630100,-111.479700,10.000000,1504412076.100000,0.710000,34.468900,55.000000,0,3.300000,1508283834.040000,
us2000aet8,19.222700,-155.483300,35.860000,1504412187.600000,0.320000,3.224510,84.000000,0,2.300000,1506484595.040000,
us2000aet7,42.618600,-111.476900,10.000000,1504412240.320000,0.730000,34.913660,40.000000,0,3.300000,1508283801.040000,
us2000aet9,42.654600,-111.489800,10.000000,1504412520.940000,1.060000,34.135330,36.000000,0,3.300000,1508284034.040000,
us2000ag7t,19.422000,-155.611800,2.472000,1504412665.400000,0.390000,2.668560,96.000000,0,2.500000,1506484709.040000,
us2000aetg,42.649900,-111.476900,10.000000,1504413399.930000,0.770000,33.357000,48.000000,0,2.400000,1511309527.700000,
us2000aetj,42.629800,-111.472100,10.000000,1504413523.640000,0.830000,33.912950,48.000000,0,2.800000,1511309529.360000,
us2000aeug,42.650400,-111.452200,3.800000,1504417256.170000,0.520000,31.466770,139.000000,0,2.800000,1508303346.040000,
us2000aeun,42.648400,-111.451300,10.000000,1504418676.820000,0.340000,31.466770,138.000000,0,3.700000,1508303315.658000,
us2000aeve,42.651000,-111.488400,10.000000,1504418743.070000,0.660000,34.246520,141.000000,0,4.100000,1507785731.438000,
us2000aevc,31.121700,-103.322500,5.000000,1504419876.060000,1.150000,58.708320,57.000000,0,2.700000,1506500557.040000,
us2000aevi,31.173100,-103.263600,5.000000,1504420059.030000,0.410000,61.376880,77.000000,0,3.100000,1506502331.837000,
us2000aevx,42.651200,-111.457900,6.940000,1504420924.930000,0.360000,31.911530,148.000000,0,2.700000,1511309434.580000,
us2000aew2,42.659600,-111.474700,10.000000,1504421092.790000,0.430000,32.801050,140.000000,0,4.000000,1508303603.307000,
us2000aewh,9.281400,93.114200,60.530000,1504421537.790000,0.620000,265.410530,64.000000,0,4.900000,1506574308.040000,
us2000aewk,42.665200,-111.462300,10.000000,1504422007.440000,0.590000,31.577960,149.000000,0,3.000000,1507793004.040000,
us2000aewq,42.627300,-111.465500,6.390000,1504422652.230000,0.350000,33.579380,138.000000,0,2.800000,1507793182.040000,
us2000aews,42.606400,-111.436400,5.760000,1504422907.220000,0.400000,32.689860,145.000000,0,2.700000,1511309538.770000,
us2000aexj,43.420300,-126.605500,10.000000,1504425722.480000,1.310000,194.582500,192.000000,0,4.100000,1508303788.040000,
us2000aexy,54.087300,168.751300,10.000000,1504426877.250000,0.370000,386.607630,118.000000,0,4.600000,1505567300.040000,
us2000aexw,42.672900,-111.501100,5.650000,1504427058.160000,0.540000,34.357710,143.000000,0,3.200000,1507793427.040000,
us2000aey8,42.666600,-111.492100,7.700000,1504428647.640000,0.360000,33.912950,150.000000,0,2.600000,1511309542.120000,
us2000aeyf,37.149800,143.541400,10.000000,1504429308.690000,0.690000,255.959380,133.000000,0,4.800000,1505455364.040000,
us2000aeyw,42.652100,-111.526400,4.830000,1504430644.140000,0.510000,37.026270,140.000000,0,2.900000,1508504413.040000,
us2000ag6w,-28.216000,-178.287700,263.860000,1504433810.210000,1.020000,119.195680,139.000000,0,4.200000,1505456027.040000,
us2000aezv,66.891400,-146.137900,5.500000,1504435562.320000,0.680000,0.000000,0.000000,0,2.900000,1505927203.567000,
us2000ag6x,-19.112400,169.133900,91.180000,1504437188.780000,0.770000,270.414080,156.000000,0,4.500000,1505456459.040000,
us2000af06,42.670100,-111.482800,4.400000,1504437801.930000,0.400000,33.023430,48.000000,0,3.700000,1508504584.167000,
us2000af08,42.595800,-111.491100,1.100000,1504438995.550000,1.130000,37.137460,57.000000,0,2.800000,1511309545.400000,
us2000af0d,18.441600,-68.621200,143.920000,1504439566.120000,1.060000,26.574410,110.000000,0,4.200000,1508504727.040000,
us2000af0e,3.738900,126.831100,60.650000,1504439751.370000,0.760000,333.014050,114.000000,0,4.600000,1505456847.040000,
us2000ag6y,-14.199200,167.084200,52.300000,1504441143.200000,0.800000,727.516170,206.000000,0,4.400000,1508506020.040000,
us2000af18,29.052400,51.638600,10.000000,1504442940.860000,0.700000,641.677490,52.000000,0,4.800000,1508504778.040000,
us2000af1e,42.660600,-111.460200,10.000000,1504444009.140000,0.800000,31.689150,139.000000,0,2.900000,1507058500.040000,
us2000af1g,42.626800,-111.401800,10.000000,1504444375.700000,1.050000,29.020590,142.000000,0,2.700000,1511309550.260000,
us2000af1j,42.611900,-111.441300,12.970000,1504444752.640000,0.610000,32.689860,143.000000,0,2.800000,1511309551.910000,
us2000af27,-20.646500,-177.983500,526.790000,1504446248.030000,0.720000,525.706320,105.000000,0,4.400000,1506364557.040000,
us2000af22,42.616400,-111.417200,13.590000,1504446420.020000,0.750000,30.799630,142.000000,0,2.700000,1511309554.940000,
us2000ajmv,51.673600,-175.667000,46.430000,1504446579.400000,0.400000,49.034790,207.000000,0,3.100000,1505135352.040000,
us2000af2b,42.550600,-111.388600,10.000000,1504446921.080000,0.950000,33.579380,138.000000,0,2.800000,1511309474.430000,
us2000af2c,42.608300,-111.423200,11.270000,1504446989.810000,0.490000,31.689150,142.000000,0,3.700000,1507058885.446000,
us2000af2l,42.575300,-111.394000,10.000000,1504447652.170000,0.590000,32.022720,141.000000,0,2.500000,1511309556.540000,
us2000af2t,42.607300,-111.413000,3.100000,1504447972.960000,0.610000,31.022010,132.000000,0,3.600000,1507058983.003000,
us2000af33,42.574800,-111.353100,10.000000,1504448509.550000,0.500000,29.576540,139.000000,0,2.500000,1511309559.640000,
us2000af3g,42.614400,-111.446000,10.000000,1504449737.590000,0.620000,32.912240,120.000000,0,3.700000,1508247109.913000,
us2000af3n,42.610900,-111.468500,11.210000,1504450473.300000,0.210000,34.691280,134.000000,0,3.000000,1507059130.040000,
us2000ag71,51.854600,-176.449600,72.010000,1504450591.040000,0.360000,16.456120,176.000000,0,3.800000,1506366331.040000,
us2000ag7i,-37.130900,179.155000,9.730000,1504451315.340000,0.750000,89.063190,118.000000,0,4.200000,1506366538.040000,
us2000af3x,42.634900,-111.416900,6.530000,1504451558.450000,0.610000,29.687730,143.000000,0,2.900000,1511309564.270000,
us2000af45,61.202600,-150.830900,61.900000,1504452088.820000,0.500000,0.000000,0.000000,0,2.500000,1505139827.040000,
us2000af4l,42.592800,-111.473000,6.680000,1504453224.080000,0.310000,36.025560,146.000000,0,2.600000,1511309567.490000,
us2000af4q,42.589500,-111.483900,9.460000,1504453672.410000,0.320000,37.026270,134.000000,0,3.300000,1507059324.040000,
us2000ag72,-4.526800,126.278300,386.060000,1504453792.480000,0.820000,597.535060,91.000000,0,4.100000,1506367084.040000,
us2000af4y,42.664100,-111.483200,7.300000,1504454250.450000,0.360000,33.245810,149.000000,0,2.500000,1511309570.750000,
us2000ag74,-14.871900,-177.791300,376.490000,1504454523.140000,0.620000,545.609330,99.000000,0,4.200000,1506367352.040000,
us2000af50,37.176200,-97.618300,6.390000,1504454862.440000,0.550000,4.447600,63.000000,0,2.400000,1504814416.040000,
us2000af57,42.663100,-111.428000,8.130000,1504454996.400000,0.480000,29.131780,136.000000,0,3.600000,1507059513.057000,
us2000ag73,-23.271000,-179.383500,479.750000,1504455016.100000,0.750000,1804.613700,271.000000,0,4.200000,1506369287.040000,
us2000af5v,42.668200,-111.480700,10.490000,1504456874.940000,0.490000,32.912240,149.000000,0,2.600000,1511309572.370000,
us2000af5w,42.668800,-111.492000,7.320000,1504457121.830000,0.270000,33.801760,150.000000,0,2.500000,1511309573.940000,
us2000af5z,42.612300,-111.426100,10.000000,1504457358.180000,0.810000,31.577960,54.000000,0,4.700000,1507059714.516000,
us2000af6m,42.597200,-111.532000,7.600000,1504458452.600000,0.500000,39.917210,146.000000,0,3.000000,1511309577.050000,
us2000af9a,64.872300,-165.268800,10.500000,1504459395.870000,0.570000,0.000000,0.000000,0,2.800000,1507230901.040000,
us2000af6w,42.626600,-111.467900,5.230000,1504459558.550000,0.520000,33.801760,137.000000,0,2.400000,1507231533.040000,
us2000af70,42.670400,-111.463200,3.500000,1504459696.320000,0.240000,31.466770,138.000000,0,2.300000,1507232017.040000,
us2000af79,42.638100,-111.474000,7.690000,1504460499.590000,0.560000,33.690570,136.000000,0,4.700000,1507232593.565000,
us2000ag77,-5.632200,130.281300,211.670000,1504460934.770000,1.330000,282.867360,88.000000,0,4.400000,1507232988.040000,
us2000ajn1,50.915300,179.632800,10.000000,1504461211.140000,1.310000,56.373330,231.000000,0,4.000000,1507904099.040000,
us2000af7k,42.657900,-111.483700,3.920000,1504461320.930000,0.420000,33.579380,149.000000,0,2.600000,1511309578.680000,
us2000af7p,42.601100,-111.454900,10.000000,1504462274.090000,0.220000,34.246520,145.000000,0,2.600000,1511309580.340000,
us2000af80,42.615300,-111.463300,3.000000,1504463806.750000,0.420000,34.024140,134.000000,0,3.600000,1507234767.069000,
us2000ajn2,51.377600,-178.389800,3.760000,1504463840.780000,0.480000,50.257880,200.000000,0,3.100000,1507234805.040000,
us2000afcn,52.543500,160.290600,59.050000,1504465162.910000,1.180000,122.976140,150.000000,0,4.400000,1507235575.040000,
us2000af86,37.596100,-97.761300,7.780000,1504466278.660000,0.280000,35.358420,103.000000,0,2.200000,1507235663.040000,
us2000ag79,-19.175100,-174.799500,99.520000,1504466293.800000,0.760000,512.252330,119.000000,0,4.500000,1507904735.040000,
us2000af8c,42.586100,-111.428800,10.000000,1504466422.560000,1.030000,33.468190,143.000000,0,2.800000,1511309586.680000,
us2000af8q,-20.541000,-178.178800,527.280000,1504467610.430000,1.110000,502.467610,99.000000,0,4.500000,1504472236.040000,
us2000af8u,37.176800,-97.618800,6.460000,1504469346.060000,0.360000,4.558790,62.000000,0,2.300000,1509199213.040000,
us2000af9h,42.671500,-111.497800,10.000000,1504472006.640000,0.420000,34.135330,142.000000,0,2.800000,1507904987.040000,
us2000af9l,42.643300,-111.541600,10.000000,1504473015.760000,0.670000,38.582930,34.000000,0,3.400000,1508188881.040000,
us2000ag7a,-54.182800,-146.941300,10.000000,1504474881.140000,0.940000,3163.244310,103.000000,0,4.700000,1507782014.040000,
us2000af9s,42.640500,-111.511800,10.000000,1504474905.060000,0.680000,36.359130,149.000000,0,2.600000,1511309588.370000,
us2000ag7b,-53.764200,-146.272600,10.000000,1504476645.640000,0.480000,3205.830080,187.000000,0,4.600000,1508189347.040000,
us2000afar,42.651500,-111.425400,10.000000,1504478232.510000,0.530000,29.465350,144.000000,0,2.800000,1511309591.620000,
us2000afb3,24.072400,126.009300,24.790000,1504478676.720000,1.060000,307.329160,133.000000,0,4.400000,1507779084.040000,
us2000afau,36.464300,-98.759500,6.383000,1504478929.400000,0.630000,0.000000,40.000000,0,2.800000,1508200132.040000,
us2000afb8,66.995800,-157.869200,11.900000,1504479689.300000,0.620000,0.000000,0.000000,0,2.300000,1505927210.205000,
us2000afbh,42.670200,-111.493400,1.500000,1504481163.280000,0.340000,33.801760,151.000000,0,2.500000,1511309593.190000,
us2000afc5,42.650600,-111.490500,12.340000,1504481242.350000,1.020000,34.357710,144.000000,0,2.500000,1511309594.840000,
us2000afbq,42.580600,-111.357500,12.960000,1504483404.610000,0.760000,29.354160,140.000000,0,2.600000,1511309596.580000,
us2000afc9,42.666500,-111.511800,10.000000,1504483524.580000,0.600000,35.358420,140.000000,0,3.600000,1509143504.420000,
us2000afbw,-21.078900,-68.790100,113.800000,1504483847.040000,0.510000,72.495880,53.000000,0,4.100000,1505537313.040000,
us2000armh,13.195500,144.805400,91.300000,1504484051.190000,0.470000,44.031240,118.000000,0,4.500000,1506997513.040000,
us2000afc3,42.586300,-111.449300,5.090000,1504485393.800000,0.630000,34.802470,26.000000,0,3.400000,1508188438.040000,
us2000afci,59.568900,-152.997700,95.400000,1504488782.460000,0.480000,0.000000,0.000000,0,2.800000,1505885231.040000,
us2000armi,-5.400400,147.091000,179.880000,1504489704.850000,0.810000,577.632050,69.000000,0,4.400000,1505952585.040000,
us2000aj6n,43.702300,-71.315900,5.000000,1504490456.580000,0.120000,19.124680,132.000000,0,1.600000,1505021121.040000,
us2000afcw,61.083300,-151.379500,66.700000,1504491085.910000,0.500000,0.000000,0.000000,0,3.300000,1505885433.040000,
