LatGridBinSize 4.0
LonGridBinSize 4.0
# Comment
# This file was generated on 2018/09/21
# Using the following query, run against the QA database:
#  select trunc(doriginlatcached/4)*4 lat, trunc(doriginloncached/4)*4 lon, count(epc.idevent) event_count, 
#         max(dorigindepthcached) max_depth, min(dorigindepthcached) min_depth, 
#         trunc(avg(dorigindepthcached)) avg_depth, 
#         round(min(dprefmagcached),1) min_mag, round(max(dprefmagcached),1) max_mag,
#         round(avg(dprefmagcached),1) avg_mag
#  from eventprefercache epc, eventtracking et
#  where epc.idevent = et.idevent
#    and et.fpubstatus > 2 /* some sort of pub */
#  --  and (doriginlatcached)  between 20 and 70
#  --  and (doriginloncached) between -160 and -100
#  group by trunc(doriginlatcached/4)*4, trunc(doriginloncached/4)*4
#  order by lat, lon
#  ;
#
# First two lines of file must be LatGridBinSize and LonGridBinSize 
# Comment lines are allowed but first character must be '#'
# Header line must be first blank line after the GridSize lines, and must start with "LAT  LON"
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG  
-52  -120  20           15.16      9.52       10         4.1      6.2      4.9      
-52  -116  22           16.65      10         11         4.4      5.7      4.8      
-52  -72   5            15.9       12.34      14         4.4      4.8      4.5      
-52  -68   1            10         10         10         3.8      3.8      3.8      
-52  -56   4            10         10         10         4.4      4.7      4.5      
-52  -52   19           16.39      10         11         4        7        4.8      
-52  -48   1            10         10         10         5.2      5.2      5.2      
-52  -44   4            16.81      10         11         4.3      5.1      4.6      
-52  -36   3            18.51      10         12         4.4      5.4      4.8      
-52  -32   40           22.03      3.35       11         4        5.8      4.7      
-52  -28   537          248.18     5.01       17         3.5      7.4      4.6      
-52  -24   343          140.48     1          33         3.9      6.2      4.5      
-52  -20   5            15.16      10         11         4.5      5.2      4.8      
-52  -12   1            15.24      15.24      15         4.6      4.6      4.6      
-52  -4    8            17.35      10         11         4.7      5.4      5        
-52  0     34           18.3       1.77       11         4.3      6.5      4.9      
-52  4     15           15.09      10         11         4.4      6.2      4.9      
-52  8     28           32.87      9          11         4.3      6.8      5.1      
-52  12    28           17.27      5.14       10         4.1      5.4      4.6      
-52  16    35           17.33      9.91       11         4        5.8      4.7      
-52  20    33           29.69      7.88       12         4        5.6      4.7      
-52  24    83           35.99      3.3        10         4        5.8      4.7      
-52  28    6            10.14      9.94       10         4.5      5.5      4.9      
-52  76    1            15         15         15         4.8      4.8      4.8      
-52  104   2            10         9.98       9          4.2      4.5      4.3      
-52  136   13           17.31      9.98       11         2        5.5      4.5      
-52  140   49           28.32      9.82       11         4        5.8      4.6      
-52  144   11           32.82      9          11         4.3      5.7      4.8      
-52  152   1            10         10         10         4.3      4.3      4.3      
-52  156   38           25.28      1          11         4        6.1      4.6      
-52  160   4            12.37      9.69       10         4.1      4.7      4.3      
-52  164   1            15.09      15.09      15         4.4      4.4      4.4      
-48  -116  8            15.49      9.74       10         4.6      5.9      4.9      
-48  -112  17           14.92      9.98       10         4.4      6.5      5.2      
-48  -84   3            15.23      10         11         5        5.3      5.1      
-48  -76   1            14.79      14.79      14         4.3      4.3      4.3      
-48  -72   4            16.97      12.34      14         4.2      4.8      4.5      
-48  -8    20           33.19      9.85       11         4.4      5.6      4.8      
-48  -4    11           14.45      9.47       10         4.3      5.3      4.8      
-48  12    1            10         10         10         4.8      4.8      4.8      
-48  16    1            10         10         10         4.5      4.5      4.5      
-48  28    23           10         10         10         4.2      5.1      4.7      
-48  32    2            11.77      10         10         4.3      4.4      4.4      
-48  68    12           19.64      10         13         4.3      4.9      4.6      
-48  84    1            35         35         35         4.6      4.6      4.6      
-48  96    9            10         4.89       9          4.1      5.9      4.7      
-48  104   30           15.05      9.88       10         4.1      5.5      4.5      
-48  108   31           20.13      10         11         4        5        4.5      
-48  112   46           32.94      4.08       10         4        5.7      4.6      
-48  116   30           33.41      9.83       11         4.1      5.2      4.6      
-48  120   56           25.14      9.44       11         4        5.8      4.6      
-48  124   79           17.08      7.78       10         4        5.8      4.6      
-48  128   3            15.01      10         11         4.1      4.7      4.3      
-48  132   1            10         10         10         4.9      4.9      4.9      
-48  136   29           15.23      9.86       10         4.2      6.3      4.8      
-48  140   2            15.11      10         12         4.6      4.7      4.6      
-48  144   2            10         10         10         4.6      4.7      4.6      
-48  148   2            12.99      10         11         5        5.2      5.1      
-48  156   1            14.12      14.12      14         4.4      4.4      4.4      
-48  160   13           27.12      1          13         4.3      6.1      4.8      
-48  164   22           40.06      10         19         4.1      6.6      4.8      
-48  168   1            10         10         10         4.2      4.2      4.2      
-48  172   1            11.5       11.5       11         4.7      4.7      4.7      
-44  -112  1            10         10         10         4.7      4.7      4.7      
-44  -104  1            10         10         10         4.8      4.8      4.8      
-44  -84   1            10         10         10         4.6      4.6      4.6      
-44  -80   24           16.3       9.89       10         4.2      6.5      4.8      
-44  -76   51           27.86      1.56       12         3.7      6        4.8      
-44  -72   13           47.5       10         20         4.3      5.2      4.8      
-44  -12   40           18.86      6.42       10         4.3      5.8      4.8      
-44  -8    5            10         0          8          4.6      5.3      4.9      
-44  28    3            10         9.92       9          4.3      5.3      4.7      
-44  32    37           15.65      9          10         4.1      6.2      4.7      
-44  36    61           16.49      10         10         4.2      6        4.6      
-44  40    3            10         10         10         4.6      4.7      4.6      
-44  80    1            9.84       9.84       9          4.8      4.8      4.8      
-44  84    3            35         10         18         4.9      7.1      5.7      
-44  92    15           10         2.96       9          4.1      5.6      4.8      
-44  96    27           15.78      9.87       10         4.3      6        4.9      
-44  100   12           15.84      10         11         4.1      4.9      4.5      
-44  104   2            10.01      10         10         4.6      4.8      4.7      
-44  120   1            10         10         10         4.2      4.2      4.2      
-44  160   2            27.23      10         18         4.5      5.5      5        
-44  164   100          133.42     3.182      34         3.6      6.1      4.4      
-44  168   24           40         3          9          3.6      5.6      4.3      
-40  -176  1            10         10         10         4.1      4.1      4.1      
-40  -104  2            10         10         10         4.6      4.9      4.8      
-40  -92   3            10.11      10         10         4.4      4.7      4.5      
-40  -88   45           16.09      9.99       10         4.1      5.5      4.7      
-40  -84   35           33.66      10         11         4.2      5.8      4.8      
-40  -80   31           33.12      8.05       10         3.7      5.6      4.8      
-40  -76   2            10         9.45       9          4.3      4.7      4.5      
-40  -72   77           128.21     3.29       27         3.8      7.6      4.4      
-40  -68   5            144.3      3.47       47         4        4.9      4.5      
-40  -16   22           15.4       7.23       10         4.2      5.7      4.7      
-40  -12   2            14.3       9.74       12         4.6      4.7      4.6      
-40  -8    1            10         10         10         5.1      5.1      5.1      
-40  36    26           16.19      9.77       12         4.2      5.2      4.6      
-40  40    55           17.91      0          10         4.1      6        4.6      
-40  44    24           15.86      6.78       11         4.2      5.8      4.8      
-40  76    20           10         10         10         4.3      6.3      4.7      
-40  80    26           16.4       9          10         3.9      6        4.8      
-40  84    25           15.29      9.31       10         4.2      5.5      4.7      
-40  88    13           27.41      10         12         4.2      5.5      4.7      
-40  116   1            10         10         10         4.4      4.4      4.4      
-40  124   3            10.13      10         10         4.4      5.2      4.8      
