 Pg                 0          11
  164    0.43      1.31       580.2  
  165    0.39      1.32       500.7  
  166    0.35      1.33       422.6  
  167    0.31      1.33       348.7  
  168    0.28      1.33       281.2  
  169    0.26      1.34       221.6 *
  170    0.26      1.36       170.8  
  171    0.28      1.39       129.8  
  172    0.32      1.42        98.8  
  173    0.38      1.45        77.7  
  174    0.45      1.48        65.7  
  175    0.54      1.49        60.5  
  176    0.64      1.50        57.3  
  177    0.77      1.51        47.7  
  178    0.92      1.58        18.0  
 PKPbc            144         156
  145    0.00      1.00      4000.0  
  150    0.33      1.00 *    3435.7 *
  151    0.33      1.00      3435.7  
  152    0.62      1.20      1510.3 *
  153    0.67      1.61      1365.6  
  154    0.67      1.77 *    1238.9  
  155    0.70      2.17      1108.1  
  156    0.62      2.71       872.1  
 PKPdif           155         164
  156    0.62      2.71       872.1  
  157    0.36      3.26 *     571.9 *
  158   -0.04      3.79       341.6  
  159   -0.46      4.23 *     252.6  
  160   -0.78      4.48       221.0  
  161   -1.01      4.55       143.2 *
  164   -2.00      5.00         0.1  
 PKPpre           122         144
  122   -7.68      3.61         8.8  
  123   -7.61      3.63         9.4  
  124   -7.59      3.61        17.2  
  125   -7.66 *    3.58        25.7  
  126   -7.86      3.58        32.5  
  127   -8.17      3.60        38.0  
  128   -8.58      3.63        43.7  
  129   -9.06      3.67        51.6  
  130   -9.56      3.68        63.3 *
  131  -10.02 *    3.66        79.6  
  132  -10.41      3.60 *     100.4  
  133  -10.67      3.48       124.9  
  134  -10.77 *    3.32       151.0  
  135  -10.68      3.10       176.3  
  136  -10.39 *    2.85       198.1  
  137   -9.91      2.57       213.7 *
  138   -9.26 *    2.29       220.9  
  139   -8.48      2.01       218.0  
  140   -7.63      1.76 *     204.8  
  141   -6.76      1.55       181.9  
  142   -5.95      1.39       151.5  
  143   -5.27      1.29       116.7  
 pP                14         100
   15    0.15      4.10       200.0  
   29    0.15      2.52       608.4 *
   30    0.15      2.37       577.9  
   31    0.15      2.26       562.7  
   32    0.16      2.18 *     559.4  
   33    0.16      2.12       565.0  
   34    0.17      2.08       576.9  
   35    0.18      2.06       593.2  
   36    0.18      2.04       612.0  
   37    0.19      2.02       632.1  
   38    0.20      2.01       652.3  
   39    0.20      2.00       671.9  
   40    0.20      1.99       690.3  
   41    0.20      1.98       707.1  
   42    0.20      1.96       722.0  
   43    0.20      1.95       735.0  
   44    0.19      1.93       746.2  
   45    0.18      1.91       755.6  
   46    0.17      1.89       763.5  
   47    0.16      1.88       770.1  
   48    0.15      1.86       775.8  
   49    0.13      1.84       780.9  
   50    0.12      1.83       785.7  
   51    0.10      1.81       790.6  
   52    0.08      1.80       796.0  
   53    0.07      1.79       802.1  
   54    0.05      1.78       809.2  
   55    0.03      1.77       817.7  
   56    0.02      1.76       827.7  
   57    0.00      1.76       839.6  
   58   -0.01      1.75       853.3  
   59   -0.02      1.75       869.0  
   60   -0.03      1.74       886.9 *
   61   -0.04      1.74       906.9  
   62   -0.04      1.74       929.0  
   63   -0.04      1.73       953.1  
   64   -0.04      1.73       979.1  
   65   -0.04      1.72      1007.0  
   66   -0.03      1.71      1036.4  
   67   -0.03      1.70      1067.2  
   68   -0.02      1.69      1099.0  
   69   -0.01      1.68      1131.7  
   70    0.00      1.67      1164.9  
   71    0.01      1.65      1198.1  
   72    0.02      1.64      1231.1  
   73    0.03      1.62      1263.3  
   74    0.04      1.61      1294.4  
   75    0.05      1.59      1324.0  
   76    0.06      1.58      1351.4  
   77    0.06      1.58      1376.2  
   78    0.06      1.57 *    1397.8  
   79    0.06      1.57      1415.7  
   80    0.06      1.58      1429.3  
   81    0.05      1.59      1437.8 *
   82    0.04      1.61      1440.6  
   83    0.03      1.63      1437.0  
   84    0.02      1.65      1426.1  
   85    0.00      1.68      1407.1  
   86   -0.01      1.71      1379.1  
   87   -0.02      1.74      1340.9  
   88   -0.02      1.76      1291.5 *
   89   -0.01      1.78 *    1229.6  
   90    0.01      1.77      1153.7  
   91    0.04      1.75 *    1062.4  
   92    0.04      1.80       900.0  
  100   -0.78      3.68       134.6  
 pPdif             99         132
  100   -0.78      3.68       134.6  
  101   -1.17      3.91        99.2  
  102   -1.40      4.27        53.9 
  103   -1.60      4.55        24.9 * 
  104   -1.89      4.73        21.2  
  105   -2.32      4.93        30.6  
  106   -2.86      5.23        35.5  
  107   -3.45      5.60 *      30.7  
  108   -4.07      5.82        28.8 
  109   -4.66      5.89        36.7 * 
  132   -4.66      7.50         0.0  
 sP                14         100
   29    0.48      3.29       323.6  
   30    0.46      3.11       329.8  
   31    0.46      2.96       334.9  
   32    0.48      2.85 *     339.3  
   33    0.50      2.76       343.3  
   34    0.52      2.70       347.1  
   35    0.55      2.66 *     350.8  
   36    0.57      2.63       354.5  
   37    0.59      2.62       358.1  
   38    0.61      2.62       361.6  
   39    0.62      2.63       364.9  
   40    0.63      2.65       367.9  
   41    0.63      2.67       370.5  
   42    0.63      2.69       372.7 *
   43    0.62      2.71       374.4  
   44    0.61      2.73       375.4  
   45    0.60      2.76       375.8  
   46    0.58      2.78       375.6  
   47    0.56      2.79       374.7  
   48    0.54      2.81       373.1  
   49    0.52      2.82       371.0  
   50    0.49      2.83 *     368.5  
   51    0.47      2.83       365.5  
   52    0.44      2.82       362.2  
   53    0.42      2.82       358.8  
   54    0.39      2.81       355.4  
   55    0.37      2.79       352.2  
   56    0.35      2.78       349.3  
   57    0.32      2.76       346.9  
   58    0.30      2.73       345.2  
   59    0.28      2.71       344.2  
   60    0.26      2.69       344.3  
   61    0.24      2.66       345.3  
   62    0.23      2.64       347.6 *
   63    0.21      2.61       351.0  
   64    0.20      2.59       355.8  
   65    0.19      2.57       361.9  
   66    0.17      2.55       369.2  
   67    0.17      2.54       377.7  
   68    0.16      2.53       387.4  
   69    0.16      2.52       398.0  
   70    0.16      2.52       409.4  
   71    0.16      2.53       421.3  
   72    0.17      2.54 *     433.6  
   73    0.18      2.56       445.8  
   74    0.19      2.58       457.7  
   75    0.22      2.61       469.0  
   76    0.24      2.65       479.2  
   77    0.27      2.69       487.9  
   78    0.31      2.73       494.9  
   79    0.35      2.78       499.7  
   80    0.40      2.83       501.9 *
   81    0.44      2.89       501.3  
   82    0.49      2.95       497.6  
   83    0.54      3.01       490.6  
   84    0.59      3.06       480.2  
   85    0.62      3.12       466.5  
   86    0.65      3.16       449.5  
   87    0.65      3.20       429.7  
   88    0.63      3.24       407.5  
   89    0.58      3.25       383.7  
   90    0.49      3.26       359.2  
   91    0.34      3.24       335.4  
 pwP               23         100
   29    4.67      2.19       133.1  
   30    4.67      2.23       165.9  
   31    4.67      2.25       184.9 *
   32    4.67      2.26       194.2  
   33    4.67      2.26 *     197.0  
   34    4.67      2.25       195.8  
   35    4.67      2.24       192.7  
   36    4.67      2.23       189.2  
   37    4.67      2.21       186.2  
   38    4.67      2.20       184.5  
   39    4.67      2.19       184.4  
   40    4.67      2.17       186.2 *
   41    4.67      2.16       189.9  
   42    4.67      2.15       195.1  
   43    4.67      2.14       201.8  
   44    4.67      2.13       209.5  
   45    4.67      2.13       218.0  
   46    4.67      2.12       226.8  
   47    4.67      2.11       235.6  
   48    4.67      2.10       244.0  
   49    4.67      2.09       251.8  
   50    4.67      2.08       258.7  
   51    4.67      2.07       264.7 *
   52    4.67      2.05       269.5  
   53    4.67      2.04       273.2  
   54    4.67      2.02       275.7  
   55    4.67      2.00       277.3  
   56    4.67      1.98       278.0  
   57    4.67      1.95       278.0  
   58    4.67      1.93       277.6  
   59    4.67      1.90       277.1  
   60    4.67      1.88       276.7  
   61    4.67      1.85       276.8  
   62    4.67      1.83       277.7  
   63    4.67      1.80       279.7  
   64    4.67      1.78       283.0  
   65    4.67      1.76       287.9 *
   66    4.67      1.74       294.5  
   67    4.67      1.72       303.0  
   68    4.67      1.71       313.4  
   69    4.67      1.70       325.8  
   70    4.67      1.69       340.0  
   71    4.67      1.69       355.8  
   72    4.67      1.69 *     373.1  
   73    4.67      1.69       391.3  
   74    4.67      1.70       410.2  
   75    4.67      1.71       429.2  
   76    4.67      1.72       447.8  
   77    4.67      1.73       465.3  
   78    4.67      1.75       481.1  
   79    4.67      1.77       494.4  
   80    4.67      1.79       504.7  
   81    4.67      1.81       511.4 *
   82    4.67      1.83       513.8  
